country,country_wb,gdp_country_code,year,season,medal_count,gdp_per_capita
Spain,Spain,ESP,2022,Winter,1,30319.4987196616
Sweden,Sweden,SWE,2022,Winter,18,54836.8907235124
Switzerland,Switzerland,CHE,2022,Winter,15,94394.5106803525
Ukraine,Ukraine,UKR,2022,Winter,1,4199.6708984375
United States,United States,USA,2022,Winter,25,76657.2488844403
Albania,Albania,ALB,2024,Summer,2,11377.7757431099
Algeria,Algeria,DZA,2024,Summer,3,5752.99076651465
Argentina,Argentina,ARG,2024,Summer,3,13969.7836603737
Armenia,Armenia,ARM,2024,Summer,4,8556.21406956719
Australia,Australia,AUS,2024,Summer,53,64603.9856308464
Austria,Austria,AUT,2024,Summer,5,58268.8787651601
Azerbaijan,Azerbaijan,AZE,2024,Summer,7,7283.8499076179
Bahrain,Brunei Darussalam,BRN,2024,Summer,4,33153.4738913513
Belgium,Belgium,BEL,2024,Summer,10,56614.5679499036
Botswana,Botswana,BWA,2024,Summer,2,7695.75319445165
Brazil,Brazil,BRA,2024,Summer,20,10310.5488778166
Bulgaria,Bulgaria,BGR,2024,Summer,7,17596.0173663521
Canada,Canada,CAN,2024,Summer,27,54340.3477224733
Cape Verde,Cabo Verde,CPV,2024,Summer,1,5192.48157325878
Chile,Chile,CHL,2024,Summer,2,16709.8893972307
China,China,CHN,2024,Summer,91,13303.1481543868
Colombia,Colombia,COL,2024,Summer,4,7919.20886825345
Cote d'Ivoire,Cote d'Ivoire,CIV,2024,Summer,1,2727.8935220697
Croatia,Croatia,HRV,2024,Summer,7,24050.4397933135
Cuba,Cuba,CUB,2024,Summer,9,9605.27914559614
Cyprus,Cyprus,CYP,2024,Summer,1,38674.29296875
Czech Republic,Czechia,CZE,2024,Summer,5,31823.3078290564
Denmark,Denmark,DNK,2024,Summer,9,71026.4832271897
Dominica,Dominica,DMA,2024,Summer,1,10405.2787777582
Dominican Republic,Dominican Republic,DOM,2024,Summer,3,10875.6618443092
Ecuador,Ecuador,ECU,2024,Summer,5,6874.705739766
Egypt,"Egypt, Arab Rep.",EGY,2024,Summer,3,3338.47371395895
Ethiopia,Ethiopia,ETH,2024,Summer,4,1133.88279681719
Fiji,Fiji,FJI,2024,Summer,1,6425.74151715712
France,France,FRA,2024,Summer,64,46103.0840855884
Georgia,Georgia,GEO,2024,Summer,7,9241.49122313713
Germany,Germany,DEU,2024,Summer,33,56103.7323182554
Great Britain,United Kingdom,GBR,2024,Summer,65,53246.3676145108
Greece,Greece,GRC,2024,Summer,8,24626.1481858973
Grenada,Grenada,GRD,2024,Summer,2,11705.0902976658
Guatemala,Guatemala,GTM,2024,Summer,2,6150.02571438505
"Hong Kong, China","Hong Kong SAR, China",HKG,2024,Summer,4,54074.6928519479
Hungary,Hungary,HUN,2024,Summer,19,23292.3263882478
India,India,IND,2024,Summer,6,2694.73780859961
Indonesia,Indonesia,IDN,2024,Summer,3,4925.43048751861
Iran,"Iran, Islamic Rep.",IRN,2024,Summer,12,5190.16959024821
Ireland,Ireland,IRL,2024,Summer,7,112894.953240805
Israel,Israel,ISR,2024,Summer,7,54176.6844383302
Italy,Italy,ITA,2024,Summer,40,40385.3413957669
Jamaica,Jamaica,JAM,2024,Summer,6,7753.8006955432
Japan,Japan,JPN,2024,Summer,45,32487.0778047567
Jordan,Jordan,JOR,2024,Summer,1,4618.09592498567
Kazakhstan,Kazakhstan,KAZ,2024,Summer,7,14154.6324958076
Kenya,Kenya,KEN,2024,Summer,11,2132.43452097647
Korea Republic,"Korea, Rep.",KOR,2024,Summer,32,36238.639908315
Kosovo,Kosovo,XKX,2024,Summer,2,7023.06598512878
Kyrgyzstan,Kyrgyz Republic,KGZ,2024,Summer,6,2420.18542283831
Lithuania,Lithuania,LTU,2024,Summer,4,29384.0189598663
Malaysia,Malaysia,MYS,2024,Summer,2,11874.4273684245
Mexico,Mexico,MEX,2024,Summer,5,14185.7812248529
Moldova,Moldova,MDA,2024,Summer,4,7576.19589413326
Mongolia,Mongolia,MNG,2024,Summer,1,6750.6301157724
Morocco,Morocco,MAR,2024,Summer,2,4153.1943359375
Netherlands,Netherlands,NLD,2024,Summer,34,67520.4218956281
New Zealand,New Zealand,NZL,2024,Summer,20,49205.1792146792
Norway,Norway,NOR,2024,Summer,8,86785.4334489176
Pakistan,Pakistan,PAK,2024,Summer,1,1478.77277977996
Panama,Panama,PAN,2024,Summer,1,19161.2188501596
Peru,Peru,PER,2024,Summer,1,8452.37167056621
Philippines,Philippines,PHL,2024,Summer,4,3984.8315387656
Poland,Poland,POL,2024,Summer,10,25103.565661423
Portugal,Portugal,PRT,2024,Summer,4,29292.242104753
Puerto Rico,Puerto Rico (US),PRI,2024,Summer,2,39343.7154660139
Qatar,Qatar,QAT,2024,Summer,1,76688.6941743178
Romania,Romania,ROU,2024,Summer,9,20080.2096215595
Saint Lucia,St. Lucia,LCA,2024,Summer,2,14181.6303351598
Serbia,Serbia,SRB,2024,Summer,5,13679.2065983557
Singapore,Singapore,SGP,2024,Summer,1,90674.066632628
Slovakia,Slovak Republic,SVK,2024,Summer,1,25992.6748502048
Slovenia,Slovenia,SVN,2024,Summer,3,34301.0318686594
South Africa,South Africa,ZAF,2024,Summer,6,6267.186814093
Spain,Spain,ESP,2024,Summer,18,35326.7683069278
Sweden,Sweden,SWE,2024,Summer,11,57117.4877440616
Switzerland,Switzerland,CHE,2024,Summer,8,103998.186685604
Tajikistan,Tajikistan,TJK,2024,Summer,3,1341.20229027672
Thailand,Thailand,THA,2024,Summer,6,7346.62022142185
Tunisia,Tunisia,TUN,2024,Summer,3,4181.13789301228
Turkey,Turkiye,TUR,2024,Summer,8,15892.7157287241
Uganda,Uganda,UGA,2024,Summer,2,1077.91278452817
Ukraine,Ukraine,UKR,2024,Summer,12,5389.47314453125
United States,United States,USA,2024,Summer,126,84534.0407841548
Uzbekistan,Uzbekistan,UZB,2024,Summer,13,3161.70010632875
Zambia,Zambia,ZMB,2024,Summer,1,1187.10943350064
